"CL","LAST-NONSPEC-TEAM","CURRENT-TEAM","NAME-CLEAN","NAME-RAW","SCORE-CURRENT","SCORE-SUM","CAPTURES-CURRENT","CAPTURES-SUM","RETURNS-CURRENT","RETURNS-SUM","BC-CURRENT","BC-SUM","ASSISTS-CURRENT","ASSISTS-SUM","FLAGHOLD-CURRENT","FLAGHOLD-SUM","FLAGGRABS-CURRENT","FLAGGRABS-SUM","MINEGRABS-TOTAL","MINEGRABS-REDBASE","MINEGRABS-BLUEBASE","MINEGRABS-NEUTRAL","ACCURACY-WEIRD","KILLS","DEATHS","TOTALKILLS-MOH","PING-CURRENT","PING-MEAN","PING-MEAN-DEVIATION","TIME-CURRENT","TIME-SUM","GLICKO2-RATING","GLICKO2-DEVIATION","DFA-KILLS","DFA-RETURNS","RED-KILLS","RED-RETURNS","YEL-KILLS","YEL-RETURNS","BLU-KILLS","BLU-RETURNS","DBS-KILLS","DBS-RETURNS","DBS-ATTEMPTS","BS-KILLS","BS-RETURNS","MINE-KILLS","MINE-RETURNS","UPCUT-KILLS","UPCUT-RETURNS","YDFA-KILLS","YDFA-RETURNS","BLUBS-KILLS","BLUBS-RETURNS","DOOM-KILLS","DOOM-RETURNS","TUR-KILLS","TUR-RETURNS","UNKN-KILLS","UNKN-RETURNS","IDLE-KILLS","IDLE-RETURNS"
"2","Blue","Blue","pi > owneds","^0^Xfb02ff^X5b032bpi > owneds","630","630","0","0","6","6","25","25","1","1","0","0","0","0","15","0","15","0","0","35","11","","25","24.376522702104097","1.7539647482427323","14","14","1603","94","10","1","2","0","13","2","0","0","1","0","2","4","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Blue","Blue","z","z","581","581","4","4","1","1","0","0","1","1","302310","302310","6","6","4","4","0","0","0","6","2","","33","31.573333333333334","1.7857958076629787","14","14","1753","181","3","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Blue","Blue","divine","divine","519","519","0","0","8","8","7","7","3","3","0","0","0","0","0","0","0","0","0","17","12","","35","36.60932297447281","1.6625674777939135","14","14","1540","125","5","1","4","2","2","1","0","0","2","2","5","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Blue","Blue","johncuucka","^Qjohncuucka","458","458","2","2","1","1","0","0","1","1","377520","377520","9","9","0","0","0","0","0","3","11","","50","49.45132743362832","6.155062885371339","14","14","1273","178","0","0","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Blue","Blue","narkoman","^3narkoman","414","414","0","0","5","5","9","9","0","0","3350","3350","1","1","1","0","1","0","0","27","10","","17","18.00220994475138","1.4686392319055968","14","14","1676","109","15","4","3","0","8","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Blue","Blue","sora","sora","359","359","1","1","1","1","7","7","0","0","87760","87760","3","3","5","5","0","0","100","18","16","","27","25.0976692563818","1.3147355356833021","14","14","1516","116","6","0","3","0","4","0","0","0","0","0","0","1","1","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Red","Red","[ToD] killzo*","^3[^1T^2o^1D^3] killzo^1*","238","238","0","0","6","6","4","4","0","0","26310","26310","4","4","0","0","0","0","0","17","13","","30","29.542730299667035","0.9242118059313491","14","14","1536","120","11","3","0","0","3","1","0","0","2","2","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Red","Red","shax   ","shax   ","157","157","0","0","3","3","1","1","0","0","254500","254500","5","5","1","0","1","0","300","7","17","","35","34.56048834628191","1.2694451518212175","14","14","1301","143","3","1","0","0","1","0","0","0","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Red","Red","pada","pada","123","123","0","0","2","2","1","1","0","0","157570","157570","6","6","1","0","1","0","0","8","15","","26","27.13904338153504","0.6782982512023128","14","14","1472","113","3","1","4","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Red","Red","StrayedJack","^0^1^xfc0S^xfd4tray^xfd7e^xff8d^0^1^x800Jack","92","92","0","0","0","0","10","10","0","0","87450","87450","2","2","6","6","0","0","0","14","21","","20","20.316315205327413","1.0592073798669361","14","14","1332","113","8","0","0","0","1","0","0","0","1","0","1","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Red","Red","mystic_tokaref","^1^0^1mystic_tokaref","66","66","0","0","0","0","4","4","0","0","66620","66620","4","4","3","0","3","0","50","7","21","","22","20.185635359116024","1.8160771455334002","14","14","1433","134","3","0","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Red","Red","goose","^X008080goose","51","51","0","0","1","1","1","1","0","0","8300","8300","1","1","0","0","0","0","0","9","19","","124","119.96230598669624","1.0755213608184964","14","14","1428","122","2","1","3","0","1","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Spectator","Spectator","Padawan (7)","^0^1^0P^4^7^4a^7^6^7d^7^6^7a^6^5^6w^5^5^5an ^7(^27^7)","630","630","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Spectator","Spectator","Padawan (6)","^0^1^0P^4^7^4a^7^6^7d^7^6^7a^6^5^6w^5^4^5an ^7(^26^7)","92","92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","Spectator","Spectator","cos.vee","cos.vee","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","Spectator","Spectator","amor","amor","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Spectator","Spectator","downfall","downfall","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Spectator","Spectator","rip cupko","rip cupko","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","Spectator","Spectator","G-spot Multi-orgasmic-shemale","^7^7^6G-spot ^6^6^7Multi-orgasmic-shemale","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","Spectator","Spectator","/[ iL ' besty.","^3/[ iL ' ^6besty.","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","Spectator","Spectator","[DBD]ew0k","^7^7^1[^7DBD^1]^7ew^10^7k","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","Spectator","Spectator","kroko","kroko","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","Spectator","Spectator","eggy wets","^3eggy wets","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Spectator","Spectator","Padawan","Padawan","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","Spectator","Spectator","link","link","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
